"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @loveleov: Get a US bank account via Payoneer   https://t.co/s7b0z6BRj6",FALSE,0,NA,2017-06-29 12:51:36,FALSE,NA,"880408407055925248",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","AngelaMortimer2",1,TRUE,FALSE,NA,NA
"2","@justsomelegend @Mariebe10098426 @paulmasonnews @JohnnyMercerUK Perhaps Mr Mason can tell us who these food bank nu… https://t.co/CoHHxFK6pD",FALSE,0,"justsomelegend",2017-06-29 12:51:32,TRUE,"880156154583810048","880408390970814464","869196370565005312","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ChrisHawkis1",0,FALSE,FALSE,NA,NA
"3","Treat client experience like a journey—not a destination. Find out why in our #IBTop10 Challenge Highlights.… https://t.co/Z4pEHbQd2E",FALSE,0,NA,2017-06-29 12:51:09,TRUE,NA,"880408293608484864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AccentureCapMkt",0,FALSE,FALSE,NA,NA
"4","RT @IndyVoices: Don’t underestimate the power of the UK economy – it’s more resilient than you think https://t.co/VKvSszHnIs",FALSE,0,NA,2017-06-29 12:51:01,FALSE,NA,"880408261698211849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sensationalistz",1,TRUE,FALSE,NA,NA
"5","""US$ 400 Million for Coastal Embankment Improvement Project - Phase I  by World Bank to Bangladesh."" https://t.co/KXKWyWRvNZ on @LinkedIn",FALSE,0,NA,2017-06-29 12:50:32,FALSE,NA,"880408142399414272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArefinMahina",0,FALSE,FALSE,NA,NA
"6","kidnapper Evans at it again , hmmm God help us oooo https://t.co/6x46mngn2c  #nigeria #naija #biafra",FALSE,0,NA,2017-06-29 12:48:50,FALSE,NA,"880407713708220417",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","mystorytalks",0,FALSE,FALSE,NA,NA
"7","Revealed: US hedge funds seek restructuring chief to lead turnaround of Co-operative Bank after £700m rescue deal. https://t.co/1K57Hf62Sa",FALSE,1,NA,2017-06-29 12:48:19,FALSE,NA,"880407580660690945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarkKleinmanSky",0,FALSE,FALSE,NA,NA
"8","RT @bfloparks: Join us on July 8 for a historical walking tour around Hoyt Lake, presented by @MandT_Bank! https://t.co/3yKWNhNziT <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #bFLOP…",FALSE,0,NA,2017-06-29 12:47:49,FALSE,NA,"880407457750818816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mamiloca76",3,TRUE,FALSE,NA,NA
"9","RT @DownbytheBank: Subscribe on iTunes! #Jaguars https://t.co/ZWZpm3rdso",FALSE,0,NA,2017-06-29 12:47:49,FALSE,NA,"880407457360740353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatlynBoyer",4,TRUE,FALSE,NA,NA
"10","RT @IDBI_Bank: To know more about IDBI Bank's offerings for Gen next solutions for cashless payments , Follow us now! https://t.co/wPH2U9HU…",FALSE,0,NA,2017-06-29 12:47:15,FALSE,NA,"880407315630915584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","parveen47785143",1002,TRUE,FALSE,NA,NA
"11","RT @thepoundlive: Co-ordination on Interest Rates Could ""Do Serious Damage to the Dollar""  - Deutsche Bank's Saravelos https://t.co/9hqKPvZ…",FALSE,0,NA,2017-06-29 12:46:37,FALSE,NA,"880407154758483968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoenixPartners",2,TRUE,FALSE,NA,NA
"12","RT @IGSquawk: US bank shares boosted in pre-market on increased payouts to shareholders after passing stress tests. RO
$GS +2%
$BAC +2.7%
$…",FALSE,0,NA,2017-06-29 12:46:08,FALSE,NA,"880407033010241536",NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","harissarosso",4,TRUE,FALSE,NA,NA
"13","If you're looking for work in #Newark, NJ, check out this #job: https://t.co/EX1lSzHBH5 #BusinessMgmt #Hiring #CareerArc",FALSE,0,NA,2017-06-29 12:45:36,FALSE,NA,"880406900294041600",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","StanChartJobs",0,FALSE,FALSE,"-74.1723667","40.735657"
"14","RT @ncino: The first #FI outside of the US deploys @nCino’s platform. Read why @oaknorth chose nCino’s Bank Operating System: https://t.co/…",FALSE,0,NA,2017-06-29 12:45:35,FALSE,NA,"880406895537860608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tulloat",1,TRUE,FALSE,NA,NA
"15","Getting ready to send someone off to college? Don't break your bank for home furnishings! Details on our items:… https://t.co/nFNZure0Vo",FALSE,0,NA,2017-06-29 12:45:21,TRUE,NA,"880406834070384641",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IKEA_LongIsland",0,FALSE,FALSE,NA,NA
"16","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-29 12:44:37,FALSE,NA,"880406649835593729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nvanwyhe",123,TRUE,FALSE,NA,NA
"17","RT @equity_research: Central bank whisperers calling a changing tune on rates / stimulus....€/$ 1.14 and $/£ nearing 1.30 again. Gilt yield…",FALSE,0,NA,2017-06-29 12:44:31,FALSE,NA,"880406624250150915",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","research_tree",1,TRUE,FALSE,NA,NA
"18","The first #FI outside of the US deploys @nCino’s platform. Read why @oaknorth chose nCino’s Bank Operating System:… https://t.co/GJL1nAHDtP",FALSE,0,NA,2017-06-29 12:43:51,TRUE,NA,"880406460479492097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ncino",1,FALSE,FALSE,NA,NA
"19","RT @GodiFinancial: #Sterling hits 1.3000 handle vs US Dollar as BOE member Andy Haldane says the Central Bank seriously need to look at rai…",FALSE,0,NA,2017-06-29 12:42:27,FALSE,NA,"880406106689990656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GTAccountants",1,TRUE,FALSE,NA,NA
"20","RT @FinastraFS: We're pleased to announce that IFIC #Bank has chosen us to support its #growth drive with #FusionBanking Essence https://t.…",FALSE,0,NA,2017-06-29 12:41:13,FALSE,NA,"880405794453377025",NA,"<a href=""http://app.sociabble.com"" rel=""nofollow"">SociabbleApp</a>","maurotozzi",2,TRUE,FALSE,NA,NA
"21","NEXT ON GMEP: Have you seen this man? Police say he robbed the Wells Fargo bank inside a grocery store. https://t.co/O1hXMEyW6o",FALSE,0,NA,2017-06-29 12:41:08,FALSE,NA,"880405773058179072",NA,"<a href=""http://toplocalnow.com/us/el-paso"" rel=""nofollow"">El Paso Now</a>","ElPasoCP",0,FALSE,FALSE,NA,NA
"22","Can you recommend anyone for this #job? IT Data Specialist (Senior ETL Developer) - https://t.co/47XcMcYjHn #Finance #mountlaurel, NJ",FALSE,0,NA,2017-06-29 12:39:44,FALSE,NA,"880405424154959872",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_phl_finance",0,FALSE,FALSE,"-74.9541999","39.9236288"
"23","TOKYO (Reuters) - A Bank of Japan policymaker praised Adolf Hitler's economic policies on… https://t.co/NAyx5iWBv8",FALSE,0,NA,2017-06-29 12:37:46,FALSE,NA,"880404928124129280",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","governn1",0,FALSE,FALSE,NA,NA
"24","Struggling to get a #mortgage? It could get harder soon. Give us a try to see if we can help #stockport #bramhall https://t.co/F4JnCfB6zs",FALSE,0,NA,2017-06-29 12:36:35,FALSE,NA,"880404630940921856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mtg_Success",0,FALSE,FALSE,NA,NA
"25","US Bank friends today is a new day and we r coming your way Sgt Pepper special and don't forget about the mac n cheese 11-1 have a great day",FALSE,0,NA,2017-06-29 12:34:54,FALSE,NA,"880404205701345280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yellow_bellies_",0,FALSE,FALSE,NA,NA
"26","@wjpme Hi John, we don't allow bank accounts to be set up by parkrun events so please don't do this. Please contact… https://t.co/0M7fyHIinE",FALSE,0,"wjpme",2017-06-29 12:34:49,TRUE,"880393231426617344","880404186638299136","316660858","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","parkrunUK",0,FALSE,FALSE,NA,NA
